"Hex","x","y","region","OccNb","Dist_boreal","Road_dist_km","Snow","BobcatP","CoyoteP"
"H304",232661.7886139,975464.12201631,"West",61,0,2.7239904543185,789.810696439978,4,27
"H305",288819.51232161,975464.1220163,"West",68,0,2.57483669600304,854.048938903232,2,20
"H306",344977.23602933,975464.12201631,"West",70,0,2.91355432986655,876.127841309686,3,20
"H307",401134.95973704,975464.12201631,"West",70,0,2.784678423326,879.873025822959,0,16
"H308",457292.68344475,975464.12201631,"West",66,0,4.19978790763409,888.02232686971,2,12
"H327",92267.47934463,1024098.13736589,"West",45,0,3.33971030255716,704.743446507656,9,40
"H328",148425.20305234,1024098.13736589,"West",57,0,4.36414575877086,756.265101890269,2,28
"H329",204582.92676005,1024098.13736589,"West",59,0,1.57641520712529,827.607826979699,6,37
"H330",260740.65046776,1024098.13736589,"West",64,0,2.61169388135633,899.713115983108,4,19
"H331",316898.37417547,1024098.13736589,"West",66,0,2.79312348150952,936.275566195935,1,6
"H349",120346.34119848,1072732.15271547,"West",70,0,4.42144215736745,800.472878927986,1,14
"H350",176504.06490619,1072732.15271548,"West",66,0,3.18975564290434,862.832761119865,5,29
